REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
MARCHE,PESARO E URBINO,PETRIANO,1305,1305,100.0,39,39,Aggiunti civici e coordinate,2026-09,1266,1266,2026-09-15,041045,G514,c_G514
PIEMONTE,TORINO,GIAVENO,6691,6689,99.97,38,40,Aggiunti civici e coordinate,2026-09,6651,6651,2026-09-15,001115,E020,c_e020
VENETO,VENEZIA,NOALE,5705,5575,97.72,34,30,Aggiunti civici e coordinate,2026-09,5541,5675,2026-09-15,027026,F904,c_f904
VENETO,VENEZIA,JESOLO,13265,13265,100.0,29,29,Aggiunti civici e coordinate,2026-09,13236,13236,2026-09-15,027019,C388,c_c388
PIEMONTE,NOVARA,TORNACO,570,74,12.98,29,0,Aggiunte coordinate,2026-09,45,570,2026-09-15,003146,L223,c_l223
VENETO,VERONA,SONA,6424,6416,99.88,28,27,Aggiunti civici e coordinate,2026-09,6388,6397,2026-09-15,023083,I826,c_i826
BASILICATA,MATERA,MATERA,17746,17746,100.0,26,26,Aggiunti civici e coordinate,2026-09,17720,17720,2026-09-15,077014,F052,c_f052
VENETO,VICENZA,SANDRIGO,3091,3088,99.9,25,26,Aggiunti civici e coordinate,2026-09,3063,3065,2026-09-15,024091,H829,c_h829
UMBRIA,PERUGIA,PERUGIA,61612,61612,100.0,25,25,Aggiunti civici e coordinate,2026-09,61587,61587,2026-09-15,054039,G478,c_g478
EMILIA ROMAGNA,MODENA,SAN PROSPERO,2555,2555,100.0,24,24,Aggiunti civici e coordinate,2026-09,2531,2531,2026-09-15,036039,I133,c_i133
